Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Unofficial,Girl
157,,兰州大学,一切都是最好的,4,339,+1(28),-4,-,-,+1(110),-,-,-,-,+1(48),+1(153),-,-,0%,Bronze,N,N
157,94,北京工业大学,我在北极挖GitHub胶卷,4,339,+1(27),-,-,-,+1(50),-,-10,-,-,+1(104),+1(158),-,-,0%,Bronze,N,N
157,94,南昌大学,南中附大放铳队,4,339,+1(20),-,-,-,+1(66),-,-,-,-,+1(42),+1(211),-,-,0%,Bronze,N,N
160,,山东大学（威海）,玛珈山的LCY,4,342,+1(13),-,-,-,+1(45),-,-,-,-,+1(61),+1(223),-,-,0%,Bronze,N,N
161,96,华北水利水电大学,GOAT,4,345,+1(49),-,-,-,+1(55),-,-,-,-,+1(73),+1(168),-,-,0%,Bronze,N,N
162,,中国矿业大学,自动AC鸡,4,346,+1(39),-3,-,-,+1(48),-,-,-,-,+1(72),+1(187),-,-,0%,Bronze,N,N
162,,浙江师范大学,快想个队名,4,346,+1(24),+1(201),-,-,+1(51),-,-,-,-,+1(70),-2,-,-,0%,Bronze,N,N
164,,青岛大学,我们想要气球,4,348,+1(17),-1,-,-,+1(48),-,-3,-,-,+1(97),+1(186),-,-,0%,Bronze,N,N
165,97,哈尔滨理工大学,哈理工01队,4,352,+1(41),-1,-,-,+1(60),-,-6,-,-,+1(47),+1(204),-,-,0%,Bronze,N,N
165,,哈尔滨工程大学,你们队名就叫这个呀,4,352,+1(21),-,-,-,+1(45),-,-3,-,-,+1(66),+1(220),-,-,0%,Bronze,N,N
167,98,南京邮电大学,快进到AC,4,356,+1(20),-,-,-,+1(57),-,-6,-,-,+1(81),+1(198),-,-,0%,Bronze,N,N
168,,四川大学,随机对,4,357,+1(26),-,-,-,+1(42),-,-,-,-,+1(56),+1(233),-,-,0%,Bronze,N,N
169,99,北京林业大学,冲就完事,4,359,+1(26),-,-,-,+1(70),-,-,-,-,+1(93),+1(170),-,-,0%,Bronze,N,N
169,99,南华大学,我宣布个事儿,4,359,+1(32),-,-,-,+1(77),-,-3,-,-,+1(46),+1(204),-,-,0%,Bronze,N,N
169,99,北京信息科技大学,二次元去死,4,359,+1(22),-,-,-,+1(39),-,-8,-,-,+1(76),+1(222),-,-,0%,Bronze,N,N
172,,太原理工大学,蓝翔WA掘机,4,362,+1(24),-,-,-,+1(96),-,-7,-,-,+1(46),+1(196),-,-,0%,Bronze,N,N
173,102,西南交通大学,粑拉拉小魔仙,4,363,+1(51),-3,-,-,+1(130),-,-12,-,-,+1(56),+1(126),-,-,0%,Bronze,N,N
174,,青岛大学,均衡教派,4,366,+1(19),-,-,-,+1(45),-,-8,-,-,+1(132),+1(170),-,-,0%,Bronze,N,N
174,103,中国石油大学,五行不缺水木火土,4,366,+1(29),-1,-,-,+1(66),-,-5,-,-,+1(67),+1(204),-,-,0%,Bronze,N,N
176,,东南大学,猛男,4,367,+1(22),-4,-,-,+1(54),-,-,-,-,+1(76),+1(215),-,-,0%,Bronze,N,N
176,,山东科技大学,NCC31911 萨拉托加号,4,367,+1(22),-1,-,-,+1(57),-,-1,-,-,+1(46),+1(242),-,-,0%,Bronze,N,N
178,104,南通大学,扬帆社,4,369,+1(28),-,-,-,+1(98),-,-7,-,-,+1(53),+1(190),-,-,0%,Bronze,N,N
179,105,宁波大学,快乐的小马驹,4,370,+1(12),-2,-,-,+1(57),-,-4,-,-,+1(112),+1(189),-,-,0%,Bronze,N,N
179,105,青岛科技大学,故事会,4,370,+1(28),-,-,-,+1(54),-,-,-,-,+1(37),+1(251),-,-,0%,Bronze,N,N
181,,浙江理工大学,想不出名字,4,371,+1(20),-,-,-,+1(66),-,-7,-,-,+1(99),+1(186),-,-,0%,Bronze,N,N
181,107,香港中文大学（深圳）,八百标兵奔北坡,4,371,+1(28),-,-,-,+1(75),-,-,-,-,+1(76),+1(192),-,-,0%,Bronze,N,N
183,,南京邮电大学,一相之力,4,374,+1(22),-,-,-,+1(69),-,-,-,-,+1(40),+1(243),-,-,0%,Bronze,N,N
184,108,吉首大学,三条酸菜鱼,4,375,+1(28),-,-,-,+1(91),-,-1,-,-,+1(49),+1(207),-,-,0%,Bronze,N,N
185,109,山东师范大学,快攻猛男,4,377,+1(24),-,-,-,+1(66),-,-10,-,-,+1(95),+1(192),-,-,0%,Bronze,N,N
186,,东华大学,喜欢打问号？,4,381,+1(38),-,-,-,+1(74),-,-9,-,-,+1(55),+1(214),-,-,0%,Bronze,N,N
187,,河海大学,可爱星星飞天撞,4,383,+1(19),-,-,-,+1(43),-,-6,-,-,+1(113),+1(208),-,-,0%,Bronze,N,N
187,110,中国矿业大学(北京),淡黄的长裙,4,383,+1(26),-3,-,-,+1(23),-,-,-,-,+1(83),+1(251),-,-,0%,Bronze,N,N
189,111,湖北工业大学,来者可追,4,385,+1(32),-,-,-,+1(72),-,-,-,-,+1(50),+1(231),-,-,0%,Bronze,N,N
189,,华南农业大学,火焰獠牙,4,385,+1(38),-3,-,-,+1(62),-,-,-,-,+1(46),+1(239),-,-,0%,Bronze,N,N
191,112,华中师范大学,锅锅锅,4,386,+1(25),-,-,-,+1(58),-,-,-,-,+1(133),+1(170),-,-,0%,Bronze,N,N
192,113,嘉应学院,123a,4,387,+1(38),-,-,-,+1(94),-,-,-,-,+1(77),+1(178),-,-,0%,Bronze,N,N
192,,东北师范大学,黎明初晓,4,387,+1(24),-5,-,-,+1(55),-1,-2,-,-,+1(69),+1(239),-,-,0%,Bronze,N,N
194,114,中北大学,哥哥带带我,4,388,+1(29),-,-,-,+1(72),-,-1,-,-,+1(48),+1(239),-,-,0%,Bronze,N,N
195,,西南民族大学,将愿望折纸飞机寄成信,4,389,+1(44),-3,-,-,+1(81),-,-3,-,-,+1(115),+1(149),-,-,0%,Bronze,N,N
195,115,武汉理工大学,关于铁匠两次打铁这件事,4,389,+1(18),-,-,-,+1(54),-,-8,-,-,+1(143),+1(174),-,-,0%,Bronze,N,N
195,,长春理工大学,嗨呀好急呀,4,389,+1(19),-,-,-,+1(124),-,-13,-,-,+1(58),+1(188),-,-,0%,Bronze,N,N
195,115,青岛理工大学,打酱油就行,4,389,+1(36),-,-,-,+1(82),-,-1,-,-,+1(52),+1(219),-,-,0%,Bronze,N,N
199,,东北大学秦皇岛分校,neuq-friday,4,390,+1(17),-,-,-,+1(62),-,-3,-,-,+1(164),+1(147),-,-,0%,Bronze,N,N
199,,哈尔滨理工大学,哈理工06队,4,390,+1(20),-,-,-,+1(77),-,-3,-,-,+1(112),+1(181),-,-,0%,Bronze,N,N
201,117,浙江工商大学杭州商学院,铜奖收割机,4,391,+1(20),-,-1,-,+1(69),-,-,-6,-,+1(43),+1(259),-,-,0%,Bronze,N,N
202,118,北方工业大学,你有一个极好的,4,392,+1(32),-6,-,-,+1(80),-,-2,-,-,+1(68),+1(212),-,-,0%,Bronze,N,N
203,,青岛大学,海底捞一队,4,394,+1(22),-5,-,-,+1(59),-,-2,-,-,+1(137),+1(176),-,-,0%,Bronze,N,N
204,,中国矿业大学,403 禁止访问,4,396,+1(22),-,-,-,+1(89),-,-,-,-,+1(43),+1(242),-,-,0%,Bronze,N,N
205,119,四川师范大学,we mid out a traitor,4,397,+1(31),-,-,-,+1(66),-,-5,-,-,+1(85),+1(215),-,-,0%,Bronze,N,N
206,,华南师范大学,DeDeRong,4,398,+1(29),-,-,-,+1(72),-,-5,-,-,+1(96),+1(201),-,-,0%,Bronze,N,N
207,,上海大学,秒wa种子队,4,399,+1(42),-2,-,-,+1(62),-,-,-,-,+1(120),+1(175),-,-,0%,Bronze,N,N
207,,杭州师范大学,交流电,4,399,+1(22),-,-,-,+1(51),-,-,-,-,+1(91),+1(235),-,-,0%,Bronze,N,N
209,120,电子科技大学中山学院,椭圆卤蛋中学,4,402,+1(28),-21,-,-,+1(74),-,-,-,-,+1(95),+1(205),-,-,0%,Bronze,N,N
210,,太原理工大学,蛙精对,4,403,+1(26),-,-,-,+1(114),-,-,-,-,+1(85),+1(178),-,-,0%,Bronze,N,N
210,,南京航空航天大学,50包邮出队友黑屏开不了机的NS,4,403,+1(28),-,-,-,+1(59),-,-,-,-,+1(104),+1(212),-,-2,0%,Bronze,N,N
212,121,郑州轻工业大学,分个块，排个序,4,404,+1(27),-,-,-,+1(153),-,-7,-,-,+1(37),+1(187),-,-,0%,Bronze,N,N
212,121,中国地质大学（北京）,名字不好起,4,404,+1(29),-,-,-,+1(74),-,-,-,-,+1(54),+1(247),-,-,0%,Bronze,N,N
214,,西北大学,纸片人,4,406,+1(28),-,-,-,+1(62),-,-,-,-,+1(105),+1(211),-,-,0%,Bronze,N,N
215,123,大连海事大学,哇咔咔哈哈,4,412,+1(29),-,-,-,+1(92),-,-6,-,-,+1(70),+1(221),-,-,0%,Bronze,N,N
216,124,暨南大学,这个成绩，令人汗颜,4,413,+1(35),-,-,-,+1(80),-,-,-,-,+1(60),+1(238),-,-,0%,Bronze,N,N
217,,郑州轻工业大学,neo-aspect,4,414,+1(28),-,-,-,+1(154),-,-4,-,-,+1(39),+1(193),-,-,0%,Bronze,N,N
218,125,安徽大学,鸽子机,4,422,+1(36),-,-,-,+1(103),-,-4,-,-,+1(82),+1(201),-,-,0%,Bronze,N,N
219,126,长春工业大学,三个炼金术士,4,424,+1(24),-,-,-,+1(104),-,-1,-,-,+1(60),+1(236),-,-,0%,Bronze,N,N
220,127,黑龙江大学,拭暗晨曦,4,425,+1(25),-,-,-,+1(120),-2,-3,-,-,+1(80),+1(200),-,-,0%,Bronze,N,N
221,,合肥工业大学,打铁先到先得,4,428,+1(30),-,-,-,+1(43),-,-,-,-,+1(195),+1(160),-,-,0%,Bronze,N,N
222,,深圳大学,Team of GB,4,429,+1(45),-,-,-6,+1(43),-,-4,-,-,+1(224),+1(117),-,-,0%,Bronze,N,N
222,,北京师范大学,恰饭六队,4,429,+1(18),-,-,-,+1(67),-,-,-,-,+1(81),+1(263),-1,-,0%,Bronze,N,N
224,,东北大学秦皇岛分校,嘭哈波,4,432,+1(22),-,-,-,+1(83),-,-,-,-,+1(51),+1(276),-,-,0%,Bronze,N,N
225,128,北京联合大学,Poineer,4,441,+1(34),-,-,-,+1(114),-,-1,-,-,+1(86),+1(207),-,-,0%,Bronze,N,N
226,,青岛理工大学,海神三叉戟,4,442,+1(49),-,-,-,+1(84),-,-1,-,-,+1(108),+1(201),-,-,0%,Bronze,N,N
227,,同济大学,济鸽,4,445,+1(16),-10,-,-,+1(198),-,-,-,-,+1(54),+1(177),-,-,0%,Bronze,N,N
228,129,闽南师范大学,平衡栈,4,451,+1(45),-,-,-,+1(92),-,-,-,-,+1(111),+1(203),-,-,0%,Bronze,N,N
229,,东北林业大学,给大佬倒杯卡布奇诺,4,455,+1(34),-3,-,-,+1(100),-,-,-,-,+1(94),+1(227),-,-,0%,Bronze,N,N
230,,武汉理工大学,team007,4,456,+1(43),-,-,-,+1(90),-,-,-,-,+1(95),+1(228),-,-,0%,Bronze,N,N
231,130,中原工学院,中工软件,4,457,+1(28),-1,-1,-,+1(73),-,-,-,-,+1(97),+1(259),-,-,0%,Bronze,N,N
231,,杭州电子科技大学,Slayer comes,4,457,+1(20),-,-,-2,+1(86),-,-,-,-,+1(65),+1(286),-,-,0%,Bronze,N,N
233,131,四川轻化工大学,阿廖沙,4,462,+1(31),-2,-,-,+1(160),-,-,-,-,+1(84),+1(187),-,-,0%,Bronze,N,N
233,131,中南民族大学,退役赛时在做什么？有没有空？可以来AK吗？,4,462,+1(30),-,-,-,+1(69),-,-,-,-,+1(91),+1(272),-,-,0%,Bronze,N,N
235,,同济大学,电脑一带三,4,464,+1(25),-1,-,-,+1(49),-,-,-,-,+1(126),+1(264),-,-,0%,Bronze,N,N
235,,重庆大学,一斤甲鱼,4,464,+1(21),-,-,-,+1(83),-,-10,-,-,+1(92),+1(268),-,-,0%,Bronze,N,N
237,,山东师范大学,逆风,4,472,+1(55),-2,-,-,+1(109),-,-4,-,-,+1(109),+1(199),-,-,0%,Bronze,N,N
237,,中国石油大学（北京）,风吹稻香花两岸,4,472,+1(42),-,-,-,+1(129),-,-,-,-,+1(56),+1(245),-,-,0%,Bronze,N,N
239,133,新疆大学,三朵棉花,4,477,+1(34),-,-,-,+1(65),-,-11,-,-,+1(146),+1(232),-,-,0%,Bronze,N,N
240,,安徽大学,星空,4,479,+1(55),-2,-,-,+1(95),-,-,-,-,+1(126),+1(203),-,-,0%,Bronze,N,N
241,134,河北师范大学,黎明之光,4,480,+1(30),-,-,-,+1(89),-,-,-,-,+1(68),+1(293),-,-,0%,Bronze,N,N
242,,江西师范大学,溢血浅耻,4,489,+1(72),-,-,-,+1(132),-,-,-,-,+1(104),+1(181),-,-,0%,Bronze,N,N
243,135,鲁东大学,是我梦里的金闪闪吗,4,490,+1(36),-1,-,-,+1(157),-,-,-,-1,+1(77),+1(220),-,-,0%,Bronze,N,N
244,,华南农业大学,我感觉贼队,4,493,+1(40),-,-,-,+1(86),-,-,-,-,+1(79),+1(288),-,-,0%,Bronze,N,N
245,,西北工业大学,高强度水群,4,494,+1(38),-1,-,-,+1(74),-,-,-,-,+1(147),+1(235),-,-,0%,Bronze,N,N
246,,中国矿业大学,日暮途远,4,499,+1(27),-1,-,-,+1(61),-,-,-,-,+1(127),+1(284),-,-,0%,Bronze,N,N
247,,西安电子科技大学,三棵二叉树,4,505,+1(26),-1,-,-2,+1(58),-,-,-,-,+1(133),+1(288),-,-,0%,Bronze,N,N
248,136,四川大学锦城学院,不会吧不会吧,4,507,+1(66),-,-,-,+1(110),-,-,-,-1,+1(122),+1(209),-,-,0%,Bronze,N,N
249,,广东工业大学,静寂之声,4,508,+1(73),-2,-,-,+1(71),-,-,-,-,+1(101),+1(263),-,-,0%,Bronze,N,N
250,137,成都信息工程大学,我们写的代码都是诗,4,515,+1(39),-,-,-,+1(132),-,-1,-,-,+1(63),+1(281),-,-,0%,Bronze,N,N
251,,苏州大学,改个积极的队名,4,518,+1(28),-1,-,-,+1(97),-,-4,-,-,+1(94),+1(299),-,-,0%,Bronze,N,N
252,,浙江农林大学,WA自动机,4,521,+1(41),-4,-,-,+1(106),-,-,-,-,+1(110),+1(264),-,-,0%,Bronze,N,N
253,,东北大学,好想摸鱼,4,522,+1(36),-3,-,-,+1(159),-,-,-,-,+1(52),+1(275),-,-,0%,Bronze,N,N
254,,浙江理工大学,咕咕自动稽,4,524,+1(29),-4,-,-,+1(83),-,-,-,-,+1(221),+1(191),-,-,0%,Bronze,N,N
255,138,西南交大峨眉校区,B+战队,4,543,+1(40),-,-,-,+1(120),-,-,-,-,+1(101),+1(282),-,-,0%,Bronze,N,N
255,,吉首大学,WA来哒,4,543,+1(48),-,-,-,+1(114),-,-,-,-,+1(83),+1(298),-,-,0%,Bronze,N,N
257,,西南交通大学,唯,4,549,+1(26),-,-,-5,+1(76),-,-,-,-,+1(157),+1(290),-,-,0%,Bronze,N,N
258,,华北水利水电大学,有人，脸上，破甲，大残，奈斯，扶我,4,551,+1(24),-2,-,-,+1(157),-,-,-,-,+1(129),+1(241),-,-,0%,Bronze,N,N
259,139,山东财经大学,金牌快快来,4,556,+1(72),-1,-,-,+1(139),-,-,-,-,+1(60),+1(285),-,-,0%,Bronze,N,N
260,,华中师范大学,优衣说一,4,557,+1(36),-,-,-,+1(90),-,-,-,-,+1(164),+1(267),-,-,0%,Bronze,N,N
261,,湖南工业大学,丝滑拿铁,4,562,+1(67),-,-,-,+1(127),-,+1(274),-,-,+1(94),-,-,-,0%,Bronze,N,N
262,,南方科技大学,南方科技大学-施维茨,4,583,+1(58),-,-,-,+1(45),-,-,-,-,+1(189),+1(291),-,-,0%,Bronze,N,N
263,140,安徽师范大学,深蓝之痕,4,608,+1(63),-,-,-,+1(170),-,-,-,-,+1(119),+1(256),-,-,0%,Bronze,N,N
264,,新疆大学,向犇犇犇低头,4,609,+1(64),-2,-,-,+1(124),-,-,-,-,+1(147),+1(274),-,-,0%,Bronze,N,N
265,,北京科技大学,巴斯码,4,610,+1(52),-,-,-,+1(112),-,-3,-,-,+1(211),+1(235),-,-,0%,Bronze,N,N
265,,哈尔滨工业大学(深圳）,天天向上,4,610,+1(28),-,-,-,+1(74),-,-1,-,-,+1(257),+1(251),-,-,0%,Bronze,N,N
267,141,燕山大学,来自东方的神秘力量,4,642,+1(111),-,-,-,+1(215),-,-1,-,-,+1(95),+1(221),-,-,0%,Bronze,N,N
268,,东北大学,管管无敌,4,652,+1(38),-,-,-,+1(64),-,-,-,-,+1(259),+1(291),-,-,0%,Bronze,N,N
269,,中北大学,队名叫啥,4,667,+1(22),-1,-1,-,+1(202),-,-,-,-,+1(163),+1(280),-,-1,0%,Bronze,N,N
270,,浙江师范大学,Firework,4,686,+1(18),-,-,-,+1(123),-,-,-,-,+1(265),+1(280),-,-,0%,Bronze,N,N
271,142,长沙学院,T罗奥特曼,4,749,+1(105),-,-,-,+1(195),-,-,-,-,+1(171),+1(278),-,-,0%,Bronze,N,N
272,,江南大学,江南铁队,3,104,+1(17),-,-,-,+1(52),-,-,-,-,+1(35),-5,-,-,0%,Bronze,N,N
273,,重庆大学,几何冲刺,3,105,+1(18),-,-,-,+1(39),-,-,-,-,+1(48),-7,-,-,0%,Bronze,N,N
274,,福州大学,给本公主上个全银川最好的酸辣粉,3,111,+1(14),-,-,-,+1(70),-,-8,-,-,+1(27),-9,-,-,0%,Bronze,N,N
275,,东北大学,我想要一个粉色气球,3,112,+1(25),-1,-,-,+1(43),-,-,-,-,+1(44),-13,-,-7,0%,Bronze,N,N
276,,杭州师范大学,果宝三剑客,3,133,+1(26),-,-,-1,+1(61),-,-,-,-,+1(46),-8,-,-,0%,Bronze,N,N
276,,福州大学,新建文本文档.txt,3,133,+1(23),-,-1,-,+1(65),-,-1,-,-,+1(45),-12,-,-,0%,Bronze,N,N
278,,北京航空航天大学,地址过低,3,144,+1(15),-1,-,-,+1(47),-,-,-,-1,+1(82),-9,-,-,0%,Bronze,N,N
279,143,浙江万里学院,苗妙妙养了一只喵叫喵妙,3,145,+1(21),-,-,-,+1(67),-,-,-,-,+1(57),-17,-,-,0%,Bronze,N,N
280,,华南师范大学,月下星辰,3,152,+1(23),-,-,-,+1(85),-,-,-,-,+1(44),-3,-,-,0%,Bronze,N,N
281,,南昌大学,"""AllianCe(4,5,6)""",3,153,+1(36),-2,-,-2,+1(70),-,-,-,-,+1(47),-7,-,-,0%,Bronze,N,N
282,144,西安理工大学,拿牌就给队友表白,3,154,+1(18),-,-,-,+1(104),-,-,-,-,+1(32),-4,-,-,0%,Bronze,N,N
283,,大连海事大学,风花雪月,3,157,+1(33),-,-,-,+1(72),-,-,-,-,+1(52),-8,-,-,0%,Bronze,N,N
284,,山东大学（威海）,把我的Hello World板子拿过来,3,159,+1(26),-1,-,-,+1(67),-,-,-,-,+1(66),-16,-,-,0%,Bronze,N,N
285,,北方工业大学,Revisit,3,167,+1(27),-,-,-,+1(62),-,-,-,-,+1(78),-8,-,-,0%,Bronze,N,N
286,,西北工业大学,黑色切題者,3,168,+1(16),-1,-,-1,+1(80),-,-,-,-,+1(72),-10,-,-,0%,Bronze,N,N
286,145,成都理工大学,16-不存在的银川火车站,3,168,+1(23),-,-,-,+1(91),-,-,-,-,+1(54),-24,-,-,0%,Bronze,N,N
288,,青岛科技大学,三个诸葛亮,3,170,+1(31),-,-,-,+1(81),-,-,-,-,+1(58),-5,-,-,0%,Bronze,N,N
289,,哈尔滨工业大学（威海）,阿尔法荣光,3,172,+1(28),-,-,-,+1(68),-,-,-,-,+1(76),-9,-,-,0%,Bronze,N,N
290,146,集美大学,我们不会修电脑,3,174,+1(29),-,-,-,+1(79),-,-,-,-,+1(66),-4,-,-,0%,Bronze,N,N
290,,信息工程大学,给dy倒一杯可乐,3,174,+1(28),-,-,-,+1(87),-,-,-,-,+1(59),-12,-,-,0%,Bronze,N,N
290,,哈尔滨工业大学(深圳）,yzy最可爱了,3,174,+1(19),-1,-,-,+1(49),-,-,-,-,+1(106),-1,-,-,0%,Bronze,N,N
293,,济南大学,流星,3,178,+1(41),-1,-,-,+1(76),-,-,-,-,+1(61),-3,-,-,0%,Bronze,N,N
293,147,广西大学,炼铜术土,3,178,+1(15),-2,-,-,+1(75),-,-,-,-,+1(88),-5,-,-,0%,Bronze,N,N
295,148,浙江中医药大学,最后一个滑铲,3,181,+1(35),-,-,-,+1(93),-,-,-,-,+1(53),-9,-,-,0%,Bronze,N,N
296,149,浙江育英职业技术学院,育英七队,3,183,+1(25),-,-,-,+1(70),-,-,-,-,+1(88),-10,-,-,0%,Bronze,N,N
297,,浙江农林大学,我是乱打的,3,188,+1(44),-,-,-,+1(85),-,-,-,-,+1(59),-19,-,-,0%,Bronze,N,N
297,150,江西理工大学,拿牌刘神女装队,3,188,+1(30),-,-,-,+1(94),-,-,-,-,+1(64),-17,-,-,0%,Bronze,N,N
299,151,河南理工大学,这不河狸,3,189,+1(36),-,-,-,+1(90),-,-,-,-,+1(63),-6,-,-,0%,Bronze,N,N
299,151,内蒙古大学,不能摸了,3,189,+1(35),-5,-,-,+1(94),-,-,-,-,+1(60),-,-,-,0%,Bronze,N,N
301,,大连海事大学,雄雄后援队,3,193,+1(38),-,-,-,+1(88),-,-6,-,-,+1(67),-7,-,-,0%,Honorable,N,N
301,153,中国传媒大学,夏日长吃小肉串喝杏仁茶,3,193,+1(33),-,-,-,+1(64),-,-,-,-,+1(96),-,-,-,0%,Honorable,N,N
303,,哈尔滨理工大学,哈理工05队,3,197,+1(27),-,-,-,+1(71),-,-,-,-,+1(99),-8,-,-,0%,Honorable,N,N
304,,浙江工商大学,键盘滚脸,3,199,+1(31),-,-,-,+1(80),-,-,-,-,+1(88),-2,-,-,0%,Honorable,N,N
305,,南京邮电大学,很难起,3,201,+1(43),-,-,-,+1(82),-,-,-,-,+1(76),-10,-,-,0%,Honorable,N,N
306,154,苏州科技大学,三个炼金师,3,203,+1(46),-1,-,-,+1(100),-,-,-1,-,+1(57),-5,-,-,0%,Honorable,N,N
307,,广西大学,wuwa熊猫,3,204,+1(25),-,-,-,+1(109),-,-,-,-,+1(70),-3,-,-,0%,Honorable,N,N
307,,吉林大学,绯想天,3,204,+1(21),-,-,-,+1(51),-,-,-,-,+1(132),-5,-,-,0%,Honorable,N,N
309,,广东工业大学,蹲在树堆里,3,205,+1(31),-,-,-,+1(81),-,-,-,-,+1(93),-3,-,-,0%,Honorable,N,N
310,155,天津工业大学,烤肉,3,206,+1(35),-,-,-,+1(68),-,-,-,-,+1(103),-4,-,-,0%,Honorable,N,N
311,,中国石油大学（北京）,一条大河波浪宽,3,212,+1(45),-,-,-,+1(76),-,-,-,-,+1(91),-4,-,-,0%,Honorable,N,N
311,156,东北农业大学,黄金矿工,3,212,+1(36),-,-,-,+1(93),-,-,-,-,+1(83),-5,-2,-,0%,Honorable,N,N
313,157,浙大城市学院,三个混子不想打铁,3,217,+1(27),-3,-,-,+1(115),-,-,-,-,+1(75),-14,-,-,0%,Honorable,N,N
314,,东北农业大学,辉夜大小姐想让我AC~,3,218,+1(19),-,-,-,+1(48),-,-,-,-,+1(151),-7,-,-,0%,Honorable,N,N
315,,浙江师范大学,拳打娜娜，脚踢娜娜，头顶娜娜,3,220,+1(41),-,-,-,+1(81),-,-,-,-,+1(98),-8,-,-,0%,Honorable,N,N
315,,西南民族大学,快乐星球,3,220,+1(32),-,-,-,+1(66),-,-,-,-,+1(122),-4,-,-,0%,Honorable,N,N
317,,河南理工大学,焦煤生产大队,3,224,+1(38),-,-,-,+1(110),-,-,-,-,+1(76),-6,-,-,0%,Honorable,N,N
317,,哈尔滨理工大学,哈理工10队,3,224,+1(27),-,-,-,+1(124),-,-,-,-,+1(73),-5,-,-,0%,Honorable,N,N
317,,上海大学,洞穴双头蛇队,3,224,+1(22),-,-,-,+1(64),-,-,-,-,+1(138),-4,-,-,0%,Honorable,N,N
320,,东北林业大学,二息步行,3,226,+1(23),-,-,-,+1(98),-,-,-,-,+1(105),-11,-,-,0%,Honorable,N,N
